"තත්ත්ව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Situation Report- Sri Lanka දිනය /jpfjp /
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,4,8,2,1,0,1,1,0,0,0,0,0,,,
"නැවෙනහිර පලාත
fpof;F
Eastern",5,ත්‍රීකුණාමලය,Kanthale,Airplane crash,2020.12.15,,1,1,,,,,,,,,,,,
,,"jp.kiy
Trincomalee",Town & Grevets,High Wind,2020.12.02,5,21,,,,,,,,,,,,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,5,22,1,0,0,0,0,0,0,0,0,0,,,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,5,22,1,0,0,0,0,0,0,0,0,0,,,
"සබරෙමුෙ පලාත
rg;ufKt
Sabaragamuwa",6,කෑෙල්ල,Kegalle,Tree Falean,2020.12.17,1,2,,,,,1,,,,,,,,
,,"Nffhiy
Kegalle",Yatiyanthota,High Wind,2020.12.03,1,5,,,,,1,,,,,,,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,2,7,0,0,0,0,2,0,0,0,0,0,,,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,2,7,0,0,0,0,2,0,0,0,0,0,,,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,2263,6596,3,1,0,5,301,1,6,1,1,6,,,
,,,"රාජකාරි භාර නිළධාරි / flik mjpfhhp / Duty Officer : 011 2670002
මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesman :",,,,,,,,,,,,,,,,,
,,,"ආ ප ද ා ක ළමනාකරණ මධයස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre
හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,,,
,,,"ෆැක්ස/් njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com",,,,,,,,,,,,,,,,,
,,,"වෙබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,,,
