දකුණ,ගාල්ල,,සවස් කාලවේදී වහෝ,,,සවස් කාලවේදී වහෝ,,,සවස් කාලවේදී වහෝ,
,,,රාත්‍රී කාලවේදී වැසි,,,රාත්‍රී කාලවේදී වැසි,,,රාත්‍රී කාලවේදී වැසි,
,,,වහෝ ගිගුරුම් සහිත,,,වහෝ ගිගුරුම් සහිත,,,වහෝ ගිගුරුම් සහිත,
,,,වැසි ඇති විය හැක,,,වැසි ඇති විය හැක,,,වැසි ඇති විය හැක,
,මාතර,,සවස් කාලවේදී වහෝ,,,සවස් කාලවේදී වහෝ,,,සවස් කාලවේදී වහෝ,
,,,රාත්‍රී කාලවේදී වැසි,,,රාත්‍රී කාලවේදී වැසි,,,රාත්‍රී කාලවේදී වැසි,
,,,වහෝ ගිගුරුම් සහිත,,,වහෝ ගිගුරුම් සහිත,,,වහෝ ගිගුරුම් සහිත,
,,,වැසි ඇති විය හැක,,,වැසි ඇති විය හැක,,,වැසි ඇති විය හැක,
,හම්බන්වතාට,,සවස් කාලවේදී වහෝ,,වැසි ස්වල්පයක්,වැසි ස්වල්පයක්,,,සවස් කාලවේදී වහෝ,
,,,රාත්‍රී කාලවේදී වැසි,,,,,,රාත්‍රී කාලවේදී වැසි,
,,,වහෝ ගිගුරුම් සහිත,,,,,,වහෝ ගිගුරුම් සහිත,
,,,වැසි ඇති විය හැක,,,,,,වැසි ඇති විය හැක,
ඌව,වමාණරාගල,,වැසි වාර කීපයක්.,,,වැසි වාර කීපයක්.,,,වැසි වාර කීපයක්.,
,බදුල්ල,"සවස් කාලවේදී වහෝ
රාත්‍රී කාලවේදී වැසි
වහෝ ගිගුරුම් සහිත
වැසි ඇති විය හැක",සවස් කාලවේදී වහෝ,,,සවස් කාලවේදී,,,සවස් කාලවේදී,
,,,රාත්‍රී කාලවේදී වැසි,,,වහෝ රාත්‍රී කාලවේදී,,,වහෝ රාත්‍රී,
,,,වහෝ ගිගුරුම් සහිත,,,වැසි වහෝ ගිගුරුම්,,,කාලවේදී වැසි වහෝ,
,,,වැසි ඇති විය හැක,,,සහිත වැසි ඇති විය,,,ගිගුරුම් සහිත වැසි,
,,,,,,හැක,,,ඇති විය හැක,
වයඹ,කුරුණෑගල,වැසි වාර කීපයක්.,,,"ප්‍රධ්‍ාන වශවයන්
වැසි රහිත.",ප්‍රධ්‍ාන වශවයන්,,,සවස් කාලවේදී වහෝ,
,,,,,,වැසි රහිත.,,,රාත්‍රී කාලවේදී වැසි,
,,,,,,,,,වහෝ ගිගුරුම් සහිත,
,,,,,,,,,වැසි ඇති විය හැක,
,පුත්තලම,වැසි වාර කීපයක්.,,,වැසි ස්වල්පයක්,,,,සවස් කාලවේදී වහෝ,
,,,,,,,,,රාත්‍රී කාලවේදී වැසි,
,,,,,,,,,වහෝ ගිගුරුම් සහිත,
,,,,,,,,,වැසි ඇති විය හැක,
මධ්‍යම,මහනුවර,,සවස් කාලවේදී වහෝ,,,සවස් කාලවේදී වහෝ,,,සවස් කාලවේදී වහෝ,
,,,රාත්‍රී කාලවේදී වැසි,,,රාත්‍රී කාලවේදී වැසි,,,රාත්‍රී කාලවේදී වැසි,
,,,වහෝ ගිගුරුම් සහිත,,,වහෝ ගිගුරුම් සහිත,,,වහෝ ගිගුරුම් සහිත,
,,,වැසි ඇති විය හැක,,,වැසි ඇති විය හැක,,,වැසි ඇති විය හැක,
,නුවරඑළිය,,සවස් කාලවේදී වහෝ,,,සවස් කාලවේදී වහෝ,,,සවස් කාලවේදී වහෝ,
,,,රාත්‍රී කාලවේදී වැසි,,,රාත්‍රී කාලවේදී වැසි,,,රාත්‍රී කාලවේදී වැසි,
,,,වහෝ ගිගුරුම් සහිත,,,වහෝ ගිගුරුම් සහිත,,,වහෝ ගිගුරුම් සහිත,
,,,වැසි ඇති විය හැක,,,වැසි ඇති විය හැක,,,වැසි ඇති විය හැක,
,මාතවල්,වැසි වාර කීපයක්.,වැසි වාර කීපයක්.,,,සවස් කාලවේදී වහෝ,,,සවස් කාලවේදී වහෝ,
,,,,,,රාත්‍රී කාලවේදී වැසි,,,රාත්‍රී කාලවේදී වැසි,
,,,,,,වහෝ ගිගුරුම් සහිත,,,වහෝ ගිගුරුම් සහිත,
,,,,,,වැසි ඇති විය හැක,,,වැසි ඇති විය හැක,
