"Page 1 Situati
"සබරගමුව පලාත
rg;ufKt
Sabaragamuwa",4,"රත්නපුර
,uj;jpdGhp
Rathnapura",Elapatha,Heavy Rain & High Wind,2020.09.09,1,4,,3,,1,,,,,,,
,දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,1,4,0,3,0,1,0,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,1,4,0,3,0,1,0,0,0,0,0,0,
,5,"වකාළඹ
nfhOk;G
Colombo",Colombo,Heavy Rain & High Wind,2020.09.07,9,34,,2,,,9,,,,,,
,,,,,2020.09.09,427,1640,,,,,25,,,1,42,175,"Obeysekarapura Reading
Hall"
,,,Thimbirigasyaya,,2020.09.09,213,678,,1,,,2,,,,,,
,,,Kaduwela,,2020.09.07,3,11,1,2,,1,2,,,,,,
,දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,652,2363,1,5,0,1,38,0,0,1,42,175,
"Western
Nky; khfhzk;
බස්නාහිර පලාත",6,"ගම්පහ
fk;g`h
Gampaha",Wattala,Flood,2020.09.08,367,1474,,,,,70,,,1,19,65,"Elapitiwala DMC Safety
Center"
,දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,367,1474,0,0,0,0,70,0,0,1,19,65,
,7,"කළුතර
fSj;Jiw
Kalutara",Palindanuwara,Rock Fallen,2020.09.06,16,49,,,,,,,,1,16,44,Gangarama Temple
,දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,16,49,0,0,0,0,0,0,0,1,16,44,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,1035,3886,1,5,0,1,108,0,0,3,77,284,
"නැවගනහිර පලාත
fpof;F",8,"ත්‍රීකුණාමලය
jp.kiy
Trincomalee",Seruwila,High wind,2020.09.08,3,9,,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Eastern,දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,3,9,0,3,0,0,0,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,3,9,0,3,0,0,0,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,1140,4304,1,13,0,38,160,1,0,6,126,475,
,,,"රාජකාරි භාර නිළධාරි / flik mjpfhhp / Duty Officer : 011 2670002
මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :
ආ ප ද ා ක ළමනාකරණ මධයස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre
හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,
,,,"ෆැක්ස්/ njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com
වවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,
……………………………………………………….,,,,,,,,,,,,,,,,,,
