"Page 1 Situati
,,,,High Wind/Heavy Rain,2020.09.16,1,1,,,,,1,,,,,,
,,,Kundasale,,2020.09.06,2,9,,,,,2,,,,,,
,2,නුවර,Udunuwara,High Wind,2020.09.11,1,5,,,,,1,,,,,,
,,"fz;b
Kandy",Harispattuwa,Rock Fallen,2020.09.17,1,5,,,,,1,,,,,,
,,,Minepe,High Wind,2020.09.06,4,14,,,,,4,1,,,,,
,,,Panvila,Heavy Rain,2020.09.15,1,2,,,,,1,,,,,,
,,,Pathadumbara,High Wind,,1,3,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,14,53,0,1,0,0,13,2,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,56,205,0,1,0,27,17,2,0,2,37,137,
"ඌව
Cth khfhzk;
Uva",,බදුල්ල,Welimada,Fire,2020.08.17,12,54,,,,12,,,,1,12,54,Alakolagala Day Care Centre
,3,"gJs;is
Badulla",Welimada,High Wind,2020.09.07,49,201,,1,,,49,,,,,,
,,,Redimaliyadda,Tree Fallen,2020.09.18,1,5,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,62,260,0,1,0,12,50,0,0,1,12,54,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,62,260,0,1,0,12,50,0,0,1,12,54,
"ස්ත්‍බරගමුව පලාත
rg;ufKt
Sabaragamuwa",,,Elapatha,,2020.09.09,1,4,,3,,1,,,,,,,
,,,Ayagame,Heavy Rain & High Wind,2020.09.18,2,7,,,,,2,,,,,,
,4,රත්නපුර,Kalawana,,2020.09.18,2,5,,,,,2,,,,,,
,,",uj;jpdGhp
Rathnapura",Kolonna,,2020.09.18,2,11,,,,,2,,,,,,
,,,Kahawatta,Cutting Failure,2020.09.18,2,5,,,,,2,,,,,,
,,,Godakawela,Tree Fallen,2020.09.18,1,6,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,10,38,0,3,0,1,9,0,0,0,0,0,
,,,Kegalle,Tree Fallen,2020.09.18,1,4,,,,,1,,,,,,
,,,,,2020.09.12,1,1,,,,,1,,,,,,
,5,කෑගල්ල,Yatiyanthota,High Wind,2020.09.03,1,5,,,,,1,,,,,,
,,"Nffhiy
Kegalle",Bulathkohupitiya,,2020.09.16,1,2,,,,,1,,,,,,
,,,,Cutting failure,2020.09.14,1,2,,,,,1,,,,,,
,,,Ruwanwella,Rock Fallen,2020.09.02,1,2,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,6,16,0,0,0,0,5,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,16,54,0,3,0,1,14,0,0,0,0,0,
,6,"කකාළඹ
nfhOk;G
Colombo",Colombo,Heavy Rain & High Wind,2020.09.07,9,34,,2,,,9,,,,,,
,,,,,2020.09.09,427,1640,,,,,25,,,1,42,175,"Obeysekarapura Reading
Hall"
,,,Thimbirigasyaya,,2020.09.09,213,678,,1,,,2,,,,,,
,,,Kaduwela,,2020.09.07,3,11,1,2,,1,2,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,652,2363,1,5,0,1,38,0,0,1,42,175,
"Western
Nky; khfhzk;
බස්ත්‍රනාහිර පලාත",7,"ගම්පහ
fk;g`h
Gampaha",Wattala,Flood,2020.09.08,71,271,,,,,70,,,1,19,65,"Elapitiwala DMC Safety
Center"
,,,Mahara,,2020.09.09,1,2,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,72,273,0,0,0,0,71,0,0,1,19,65,
,8,"කළුතර
fSj;Jiw
Kalutara",Palindanuwara,Rock Fallen,2020.09.06,16,49,,,,,,,,1,16,44,Gangarama Temple
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,16,49,0,0,0,0,0,0,0,1,16,44,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,740,2685,1,5,0,1,109,0,0,3,77,284,
