"තත්ත්ව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Drought Situation Report- Sri Lanka
,,,Kalawana,,,2016,7019,,,,,,,,,,,
,,,Kolonna,,2020.02.20,796,2620,,,,,,,,,,,
,,,Rathnapura,,2020.03.01,305,1055,,,,,,,,,,,
,,,Opanayaka,,,1270,5102,,,,,,,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,8150,30497,0,0,0,0,0,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,19443,72613,0,0,0,0,0,0,0,0,0,0,
,,,Yatinuwara,,2020.02.10,30,150,,,,,,,,,,,
,,,Ganga Ihalakorale,,2020.02.10,300,1080,,,,,,,,,,,
,,,Medadumbara,,2020.03.06,232,890,,,,,,,,,,,
"මධ්‍යම පලාත
kj;jpa khfhzk;
Central",3,"මහනුවර
fz;b
Kandy",Akurana,Drought,2020.03.09,997,3607,,,,,,,,,,,
,,,Kundasale,,2020.03.25,50,200,,,,,,,,,,,
,,,Pathadumbara,,2020.03.25,465,1555,,,,,,,,,,,
,,,Pujapitiya,,2020.04.07,355,1574,,,,,,,,,,,
,,,Thumpane,,2020.03.25,450,1739,,,,,,,,,,,
,,,Delthota,,2020.04.03,542,2448,,,,,,,,,,,
,,,Pathahewaheta,,2020.04.11,980,3001,,,,,,,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,4401,16244,0,0,0,0,0,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,4401,16244,0,0,0,0,0,0,0,0,0,0,
,,,Kalutara,The waves of sea,2020.04.07,75,308,,,,,,,,,,,
"බසරනාහිර පලාත
Nky; khfhzk",4,"කළුතර
fSj;Jiw
Kalutara",,"Sea water
inclusive in
drinking water",2020.01.20,19776,78359,,,,,,,,,,,Distribution of drinking water
,,,Beruwala,,,22527,103665,,,,,,,,,,,
,,,Panadura,,,3604,17040,,,,,,,,,,,
,,,Dodangoda,,,4545,13664,,,,,,,,,,,
,,,Millaniya,Drought,,480,1800,,,,,,,,,,,
,,,Mathugama,,,63,217,,,,,,,,,,,
,,,Horana,,,180,780,,,,,,,,,,,
Western,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,51250,215833,0,0,0,0,0,0,0,0,0,0,
,5,"ගම්පහ
fk;g`h
Gampaha",Minuwangoda,Drought,2020 March,15,47,,,,,,,,,,,
,,,Mahara,,2020 March,80,320,,,,,,,,,,,
,,,Divulapitiya,,2020.02.24,3953,13334,,,,,,,,,,,
,,,Miirigama,,2020.03.12,772,3405,,,,,,,,,,,
,,,Katana,,2020.03.03,2571,9789,,,,,,,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,7391,26895,0,0,0,0,0,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,58641,242728,0,0,0,0,0,0,0,0,0,0,
