"තත්තත්තව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Situation Report- Sri Lanka දිනය
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,16,230,849,0,0,0,0,0,0,0,0,0,0,
"මධ්‍යම පලාත
kj;jpa khfhzk;",2,"මාතලේ/khj;jis/M
atale",Dambulla,Heavy Rain,2020.05.20,,,,,,4,14,,,,,4,,
Central,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,0,0,0,0,0,4,14,0,0,0,0,4,0,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,0,0,0,0,0,4,14,0,0,0,0,4,0,
"උතුරු පලාත/tl
khfhzk;/
Northen/ ;",3,"මුලතිව්/Ky;iyj;jPT
Mulaitivu",Pudukuduiruppu,"Highwind and
Heavy Rain",2020.05.20,,,,,,2,6,,,,,2,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,0,0,0,0,0,2,6,0,0,0,0,2,0,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,0,0,0,0,0,2,6,0,0,0,0,2,0,
"දකුනු පලාත
njd; khfhzk;
Southern",4,"මාතර khj;jiw
Matara",Pasgoda,"Highwind and
Heavy Rain",2020.05.20,1,9,36,,,,,,,,,,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,1,9,36,0,0,0,0,0,0,0,0,0,0,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,1,9,36,0,0,0,0,0,0,0,0,0,0,
"ඌෙ/Cth
khfhzk;/Uva",5,"බදුේල/gJs;is/Ba
dulla",Uvaparanagama,"Highwind and
Heavy Rain",2020.05.20,,,,,,2,9,,,,,2,,
,,,Lunugala,,,,,,,,1,5,,,,,1,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,0,0,0,0,0,3,14,0,0,0,0,3,0,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,0,0,0,0,0,3,14,0,0,0,0,3,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,17,239,885,0,0,9,34,0,0,0,0,9,0,
,,,"රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002
මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :",,,,,,,,,,,,,,,,
,,,"ආපදා කළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Manage
හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136
ෆැක්ස්/ njhiy efy; / Fax: 0112670079
විදුත් තැපැේ / kpd;dQ;ry; / Email: eocdmc@gmail.com
ලෙබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,,
,,,………………………………………………,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Nuwan Madawanarachchi,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
