"තත්ත්ව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Situation Report- Sri Lanka
,2,ම ානරාගල,Monaragala,High Wind & Heavy Rain,2020.11.02,4,18,,,,,4,,,,,,
,,"nkhdwhfiy
Moneragala",Medagama,,2020.11.03,3,14,,,,,3,,,,,,
,,,Bibila,Lightning,2020.11.02,12,53,,,,,12,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,32,137,0,0,0,0,30,2,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,48,208,0,0,0,12,34,2,0,1,12,54,
"ස්ත්‍බරගමුව පලාත
rg;ufKt
Sabaragamuwa",3,"රත්නපුර
,uj;jpdGhp
Rathnapura",Balangoda,Rock Fallen Risk,2020.10.12,13,56,,,,,,,,2,13,56,"1. Upper Balangoda
Paththini Kovil 2.
Upper Balangoda
Gnanarama Temple"
,,,Embilipitiya,High Wind & Heavy Rain,2020.11.01,2,11,,,,,2,,,,,,
,,,,,2020.11.03,2,10,,,,,1,,,,,,
,,,Rathnapura,High Wind,2020.11.03,2,8,,,,,2,,,,,,
,,,Kalawana,Lightning,2020.11.03,1,4,,,,,1,,,,,,
,,,Pemadulla,Tree Fellen,2020.11.03,1,4,,,,,1,,,,,,
,,,Weligepola,Heavy Rain,2020.11.04,1,3,,,,,1,,,,,,
,,,Kahawaththa,Land Slide Risk,2020.11.05,1,5,,,,,,,,,,,
,,,,High Wind,,2,7,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,25,108,0,0,0,0,10,0,0,2,13,56,
,,,,Lightning,2020.11.03,3,10,,,,,3,,,,,,
,,,Ruwanwella,"Cutting Failure& Flash
Flood",2020.11.05,4,14,,,,1,3,,,,,,
,,,,Tree Felling & Lightning,202011.03,2,10,,,,,2,,,,,,
,,,Mawanella,"Tree Felling&Collapse Of a
Wall",2020.11.03,2,8,,,,,2,,,,,,
,4,කෑගල්ල Nffhiy,Bulathkohupitiya,High Wind,2020.11.04,2,9,,,,,2,,,,,,
,,Kegalle,Dehiovita,Lightning,2020.11.05,2,9,,,,,3,,,,,,
,,,Rambukkana,Tree Felling&High Wind,2020.11.05,4,10,,,,1,2,,,,,,
,,,Kegalla,Tree Felling,2020.11.05,3,11,,,,,3,,,,,,
,,,Warakapola,"Lightning ,High Wind &
Cutting Failure",2020.11.05,3,10,,,,,3,,,,,,
,,,Galigamuwa,Lightning,2020.11.05,2,2,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,27,93,0,0,0,2,25,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,52,201,0,0,0,2,35,0,0,2,13,56,
"උතුරු පලාත
tl khfhzk
Northen",5,"මුලතිව්
Ky;iyj;jPT
Mulaitivu",Maritimepattu,Missing at the Sea,2020.10.19,,,,,2,,,,,,,,"2 Fishieres were missing in
Mullaitivu sea area. They
living in trinco town."
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,0,0,0,0,2,0,0,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,0,0,0,0,2,0,0,0,0,0,0,0,
